param_index,param_name,unit,norm_value,readback,display
3,"Noise"," %",0.406250,0.400000,"40"
3,"Noise"," %",0.437500,0.430000,"43"
3,"Noise"," %",0.468750,0.460000,"46"
3,"Noise"," %",0.500000,0.500000,"50"
3,"Noise"," %",0.531250,0.530000,"53"
3,"Noise"," %",0.562500,0.560000,"56"
3,"Noise"," %",0.593750,0.590000,"59"
3,"Noise"," %",0.625000,0.620000,"62"
3,"Noise"," %",0.656250,0.650000,"65"
3,"Noise"," %",0.687500,0.680000,"68"
3,"Noise"," %",0.718750,0.710000,"71"
3,"Noise"," %",0.750000,0.750000,"75"
3,"Noise"," %",0.781250,0.780000,"78"
3,"Noise"," %",0.812500,0.810000,"81"
3,"Noise"," %",0.843750,0.840000,"84"
3,"Noise"," %",0.875000,0.870000,"87"
3,"Noise"," %",0.906250,0.900000,"90"
3,"Noise"," %",0.937500,0.930000,"93"
3,"Noise"," %",0.968750,0.960000,"96"
3,"Noise"," %",1.000000,1.000000,"100"
4,"Vol Var."," %",0.000000,0.000000,"0"
4,"Vol Var."," %",0.031250,0.030000,"3"
4,"Vol Var."," %",0.062500,0.060000,"6"
4,"Vol Var."," %",0.093750,0.090000,"9"
4,"Vol Var."," %",0.125000,0.120000,"12"
4,"Vol Var."," %",0.156250,0.150000,"15"
4,"Vol Var."," %",0.187500,0.180000,"18"
4,"Vol Var."," %",0.218750,0.210000,"21"
4,"Vol Var."," %",0.250000,0.250000,"25"
4,"Vol Var."," %",0.281250,0.280000,"28"
4,"Vol Var."," %",0.312500,0.310000,"31"
4,"Vol Var."," %",0.343750,0.340000,"34"
4,"Vol Var."," %",0.375000,0.370000,"37"
4,"Vol Var."," %",0.406250,0.400000,"40"
4,"Vol Var."," %",0.437500,0.430000,"43"
4,"Vol Var."," %",0.468750,0.460000,"46"
4,"Vol Var."," %",0.500000,0.500000,"50"
4,"Vol Var."," %",0.531250,0.530000,"53"
4,"Vol Var."," %",0.562500,0.560000,"56"
4,"Vol Var."," %",0.593750,0.590000,"59"
4,"Vol Var."," %",0.625000,0.620000,"62"
4,"Vol Var."," %",0.656250,0.650000,"65"
4,"Vol Var."," %",0.687500,0.680000,"68"
4,"Vol Var."," %",0.718750,0.710000,"71"
4,"Vol Var."," %",0.750000,0.750000,"75"
4,"Vol Var."," %",0.781250,0.780000,"78"
4,"Vol Var."," %",0.812500,0.810000,"81"
4,"Vol Var."," %",0.843750,0.840000,"84"
4,"Vol Var."," %",0.875000,0.870000,"87"
4,"Vol Var."," %",0.906250,0.900000,"90"
4,"Vol Var."," %",0.937500,0.930000,"93"
4,"Vol Var."," %",0.968750,0.960000,"96"
4,"Vol Var."," %",1.000000,1.000000,"100"
5,"Pitch Var."," %",0.000000,0.000000,"0"
5,"Pitch Var."," %",0.031250,0.030000,"3"
5,"Pitch Var."," %",0.062500,0.060000,"6"
5,"Pitch Var."," %",0.093750,0.090000,"9"
5,"Pitch Var."," %",0.125000,0.120000,"12"
